,Attrition,Prediction
72949,1.0,1.0
45619,1.0,1.0
44598,1.0,1.0
39917,1.0,1.0
26954,0.0,0.0
71235,1.0,1.0
41732,1.0,1.0
34160,0.0,0.0
53448,1.0,1.0
32704,0.0,0.0
26942,0.0,0.0
27250,0.0,0.0
40347,1.0,1.0
51679,1.0,1.0
67940,1.0,1.0
6474,0.0,0.0
17819,0.0,0.0
28574,0.0,0.0
57062,1.0,1.0
5469,0.0,0.0
11215,0.0,0.0
20718,0.0,0.0
4283,0.0,0.0
64932,1.0,1.0
52587,1.0,1.0
71407,1.0,1.0
6093,0.0,0.0
54849,1.0,1.0
23865,0.0,0.0
75452,1.0,1.0
12568,0.0,0.0
36328,0.0,0.0
37744,0.0,0.0
24418,0.0,0.0
58233,1.0,1.0
11333,0.0,0.0
63559,1.0,1.0
19030,0.0,0.0
55574,1.0,1.0
70136,1.0,1.0
22963,0.0,0.0
36253,0.0,0.0
67405,1.0,1.0
19227,0.0,0.0
56030,1.0,1.0
42913,1.0,1.0
45131,1.0,1.0
7891,0.0,0.0
12108,0.0,0.0
42213,1.0,1.0
32294,0.0,0.0
18654,0.0,0.0
26584,0.0,0.0
20531,0.0,0.0
33702,0.0,0.0
60722,1.0,1.0
6611,0.0,0.0
43791,1.0,1.0
9618,0.0,1.0
73665,1.0,1.0
882,0.0,0.0
53324,1.0,1.0
48858,1.0,1.0
64039,1.0,1.0
31274,0.0,0.0
71534,1.0,1.0
44398,1.0,1.0
71365,1.0,1.0
72947,1.0,1.0
47298,1.0,1.0
19063,0.0,0.0
32594,0.0,0.0
55851,1.0,1.0
10799,0.0,0.0
63505,1.0,1.0
51974,1.0,1.0
28550,0.0,0.0
74507,1.0,1.0
64164,1.0,1.0
73744,1.0,1.0
56882,1.0,1.0
52334,1.0,1.0
66434,1.0,1.0
16095,0.0,0.0
11698,0.0,0.0
59567,1.0,1.0
9145,0.0,0.0
56946,1.0,1.0
37814,0.0,0.0
60622,1.0,1.0
34952,0.0,0.0
59661,1.0,1.0
18452,0.0,0.0
59376,1.0,1.0
62802,1.0,1.0
10890,0.0,0.0
10097,0.0,0.0
73125,1.0,1.0
4569,0.0,0.0
53197,1.0,1.0
8060,0.0,0.0
16337,0.0,0.0
24752,0.0,0.0
9868,0.0,0.0
9285,0.0,0.0
27722,0.0,0.0
48116,1.0,1.0
59886,1.0,1.0
36982,0.0,0.0
59897,1.0,1.0
24394,0.0,0.0
40371,1.0,1.0
66130,1.0,1.0
14822,0.0,0.0
213,0.0,0.0
21901,0.0,0.0
23595,0.0,0.0
37480,0.0,0.0
69965,1.0,1.0
200,0.0,0.0
7371,0.0,0.0
32674,0.0,0.0
48765,1.0,1.0
10136,0.0,0.0
9258,0.0,0.0
13535,0.0,0.0
40863,1.0,1.0
11744,0.0,0.0
13847,0.0,0.0
55181,1.0,1.0
50116,1.0,1.0
1364,0.0,0.0
41636,1.0,1.0
32160,0.0,0.0
8979,0.0,0.0
69561,1.0,1.0
35550,0.0,0.0
33978,0.0,0.0
12801,0.0,0.0
49628,1.0,1.0
61354,1.0,1.0
60992,1.0,1.0
53039,1.0,1.0
19741,0.0,0.0
23488,0.0,0.0
20759,0.0,0.0
66878,1.0,1.0
43386,1.0,1.0
13638,0.0,0.0
58498,1.0,1.0
26636,0.0,0.0
49692,1.0,1.0
55597,1.0,1.0
8009,0.0,0.0
44876,1.0,1.0
70462,1.0,1.0
65387,1.0,1.0
4326,0.0,0.0
52261,1.0,1.0
7848,0.0,0.0
54992,1.0,1.0
1155,0.0,0.0
34534,0.0,0.0
8342,0.0,0.0
24224,0.0,0.0
50509,1.0,1.0
35241,0.0,0.0
6125,0.0,0.0
66253,1.0,1.0
23367,0.0,0.0
33685,0.0,0.0
49435,1.0,1.0
60236,1.0,1.0
45423,1.0,1.0
7107,0.0,0.0
613,0.0,0.0
21869,0.0,0.0
28542,0.0,0.0
16737,0.0,0.0
29993,0.0,0.0
58260,1.0,1.0
16934,0.0,0.0
55791,1.0,1.0
48739,1.0,1.0
22902,0.0,0.0
62888,1.0,1.0
15711,0.0,0.0
9750,0.0,0.0
47617,1.0,1.0
11468,0.0,0.0
35749,0.0,0.0
52710,1.0,1.0
12277,0.0,0.0
35581,0.0,0.0
63618,1.0,1.0
44532,1.0,1.0
62815,1.0,1.0
40316,1.0,1.0
38757,1.0,1.0
25479,0.0,0.0
26673,0.0,0.0
49861,1.0,1.0
48400,1.0,1.0
16537,0.0,0.0
60652,1.0,1.0
68944,1.0,1.0
54439,1.0,1.0
20745,0.0,0.0
35006,0.0,0.0
57931,1.0,1.0
17765,0.0,0.0
9673,0.0,0.0
52417,1.0,1.0
59953,1.0,1.0
2936,0.0,0.0
39853,1.0,1.0
64839,1.0,1.0
39877,1.0,1.0
17201,0.0,0.0
68638,1.0,1.0
35239,0.0,0.0
12596,0.0,0.0
33736,0.0,0.0
71728,1.0,1.0
33676,0.0,0.0
30326,0.0,0.0
37520,0.0,0.0
40245,1.0,1.0
58522,1.0,1.0
48998,1.0,1.0
10642,0.0,0.0
21610,0.0,0.0
30563,0.0,0.0
8656,0.0,0.0
11864,0.0,0.0
1503,0.0,0.0
2349,0.0,0.0
47939,1.0,1.0
33390,0.0,0.0
23817,0.0,0.0
44261,1.0,1.0
69486,1.0,1.0
19078,0.0,1.0
66090,1.0,1.0
38893,1.0,1.0
15905,0.0,0.0
18843,0.0,0.0
65401,1.0,1.0
32136,0.0,0.0
50739,1.0,1.0
70828,1.0,1.0
45885,1.0,1.0
27334,0.0,0.0
56000,1.0,1.0
30987,0.0,0.0
6119,0.0,0.0
21986,0.0,0.0
74414,1.0,1.0
61090,1.0,1.0
9414,0.0,0.0
32519,0.0,0.0
33140,0.0,0.0
72300,1.0,1.0
60246,1.0,1.0
39279,1.0,1.0
73818,1.0,1.0
4320,0.0,0.0
32069,0.0,0.0
61776,1.0,1.0
40413,1.0,1.0
27844,0.0,0.0
48142,1.0,1.0
50153,1.0,1.0
1755,0.0,0.0
39682,1.0,1.0
32632,0.0,0.0
56636,1.0,1.0
59082,1.0,1.0
6925,0.0,0.0
9559,0.0,0.0
25389,0.0,0.0
25146,0.0,0.0
62370,1.0,1.0
46572,1.0,1.0
37797,0.0,0.0
5701,0.0,0.0
57656,1.0,1.0
2848,0.0,0.0
55626,1.0,1.0
52452,1.0,0.0
20701,0.0,0.0
56877,1.0,1.0
44716,1.0,1.0
19821,0.0,0.0
51692,1.0,1.0
795,0.0,0.0
62367,1.0,1.0
