,Emp_ID,Age,Gender,City,Education_Level,Salary,Joining Designation,Designation,With_US,Quarterly Rating,Total Business Value,Last_Rating,Year_of_join,Month_of_join,Day_of_join,Attrition
765,60,46,0,12,1,82126,1,3,24,3.5,2051063.3333333333,2,2013,9,17,0.0
62617,386,35,0,12,0,46533,1,1,1,1.0,0.0,1,2015,11,12,1.0
38611,1795,41,1,12,1,59543,1,1,1,1.0,0.0,1,2015,9,16,1.0
41114,925,27,0,5,2,50112,1,1,1,1.0,0.0,1,2016,10,23,1.0
10606,813,33,0,19,1,31787,2,2,2,1.0,0.0,1,2017,3,2,0.0
39311,1377,35,0,8,0,55837,2,2,1,1.0,0.0,1,2015,5,4,1.0
41161,997,35,0,16,1,13941,1,1,1,1.0,0.0,1,2015,7,18,1.0
43753,2004,28,0,19,1,47369,1,1,1,1.0,0.0,1,2015,6,24,1.0
10540,802,29,1,12,2,63080,3,3,1,1.0,0.0,1,2017,12,12,0.0
43125,1307,28,0,4,2,36089,1,1,1,1.0,-1653.5831103854143,1,2015,5,19,1.0
3833,317,35,1,24,0,59936,2,2,15,1.8,346389.3333333333,1,2016,6,17,0.0
4551,368,45,1,15,0,51911,1,2,24,3.75,1286219.5833333333,4,2015,9,18,0.0
42251,1785,33,1,17,0,43861,1,1,1,1.0,0.0,1,2015,6,21,1.0
10373,789,39,0,14,1,72265,2,3,24,3.5,1533590.8333333333,4,2015,11,27,0.0
18676,1405,33,1,3,0,119870,3,3,18,2.0,431036.1111111111,4,2016,7,7,0.0
32416,2443,26,1,17,1,44169,1,2,9,1.3333333333333333,206355.55555555556,1,2014,11,25,0.0
2530,191,26,0,2,2,63380,3,3,13,2.6153846153846154,820468.4615384615,3,2016,12,19,0.0
37904,1397,32,0,8,0,44154,2,2,1,1.0,0.0,1,2015,8,18,1.0
69146,207,37,1,22,1,67766,1,1,1,1.0,0.0,1,2015,8,17,1.0
61370,1008,44,0,2,2,59622,2,2,1,1.0,0.0,1,2015,10,6,1.0
689,56,36,0,10,2,80223,1,1,24,2.875,488477.9166666667,4,2015,7,20,0.0
53002,927,26,0,8,0,27331,1,1,1,1.0,0.0,1,2015,8,5,1.0
